price,town,net_m2
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
244000,Etimesgut,110
173000,Etimesgut,120
740000,Yenimahalle,165
199000,Çankaya,204
143000,Keçiören,130
490000,Yenimahalle,300
379000,Yenimahalle,135
135000,Yenimahalle,120
399000,Yenimahalle,135
290000,Çankaya,105
209000,Keçiören,145
359000,Etimesgut,96
192000,Keçiören,130
419000,Çankaya,70
279000,Etimesgut,70
450000,Çankaya,99
1250000,Çankaya,200
247000,Altındağ,145
329000,Sincan,150
175000,Etimesgut,110
167000,Keçiören,125
210000,Etimesgut,120
189000,Keçiören,115
177500,Altındağ,110
199000,Keçiören,125
275000,Etimesgut,185
135000,Mamak,110
570000,Keçiören,260
290000,Etimesgut,185
219000,Mamak,155
179000,Etimesgut,125
149000,Keçiören,120
365000,Etimesgut,165
189000,Etimesgut,115
800000,Keçiören,178
248000,Keçiören,125
210000,Sincan,120
198000,Etimesgut,94
212000,Altındağ,110
227000,Keçiören,165
128000,Keçiören,120
429000,Etimesgut,180
78800,Keçiören,85
198000,Keçiören,125
164500,Keçiören,130
550000,Etimesgut,160
445000,Keçiören,225
132000,Etimesgut,125
159000,Keçiören,120
288000,Etimesgut,138
